Ordering,PR_AUC_mean,PR_AUC_std
Scale then Select,0.4764797431337513,0.0206072238404212
Select then Scale,0.4725114548532014,0.018570795374779382
Extract+Scale+PCA,0.9538581090293444,0.006195025586894946
Scale+PCA+Select,0.4987727853197466,0.013039539693117783
