Dataset,Regularizer,Best_C,Best_PR_AUC,Std
BEED,Elastic Net,10000.0,0.7655874418998423,0.016710431090701167
BEED,L1 (Lasso),10000.0,0.7655887571305054,0.0167085083938125
BEED,L2 (Ridge),3792.690190732246,0.7655727070413835,0.016733318162672844
Brainwave,Elastic Net,10000.0,0.8349126380452934,0.02646227377962623
Brainwave,L1 (Lasso),78.47599703514607,0.8403749326879627,0.015713240179847064
Brainwave,L2 (Ridge),3792.690190732246,0.8410984974013445,0.014936843671516726
UCI_EEG,Elastic Net,0.012742749857031334,0.49003860734596233,0.0309339546474327
UCI_EEG,L1 (Lasso),0.012742749857031334,0.4907483956228133,0.02764767009879978
UCI_EEG,L2 (Ridge),0.00026366508987303583,0.49008255014782465,0.029568744811995055
