Dataset,Regularizer,C,PR_AUC_mean,PR_AUC_std
UCI_EEG,L1 (Lasso),0.0001,0.2,0.0
UCI_EEG,L1 (Lasso),0.00026366508987303583,0.2,0.0
UCI_EEG,L1 (Lasso),0.0006951927961775605,0.2,0.0
UCI_EEG,L1 (Lasso),0.0018329807108324356,0.2,0.0
UCI_EEG,L1 (Lasso),0.004832930238571752,0.482746504655127,0.03452156273390862
UCI_EEG,L1 (Lasso),0.012742749857031334,0.4907483956228133,0.02764767009879978
UCI_EEG,L1 (Lasso),0.03359818286283781,0.48870695835248357,0.03024209766466575
UCI_EEG,L1 (Lasso),0.08858667904100823,0.4889210573020352,0.025748146556902596
UCI_EEG,L1 (Lasso),0.23357214690901212,0.4886338808975655,0.022763439870551173
UCI_EEG,L1 (Lasso),0.615848211066026,0.48615681913801306,0.02433444116386102
UCI_EEG,L1 (Lasso),1.623776739188721,0.4844470516272124,0.024741983977993934
UCI_EEG,L1 (Lasso),4.281332398719396,0.4836416894307334,0.024509555099210215
UCI_EEG,L1 (Lasso),11.288378916846883,0.4834497630436358,0.024461240409073885
UCI_EEG,L1 (Lasso),29.763514416313132,0.4833547373038381,0.024472536779935886
UCI_EEG,L1 (Lasso),78.47599703514607,0.4833263346999674,0.024459910606021706
UCI_EEG,L1 (Lasso),206.913808111479,0.4833089197063153,0.024465633728732297
UCI_EEG,L1 (Lasso),545.5594781168514,0.48330993022851904,0.024474647240128024
UCI_EEG,L1 (Lasso),1438.44988828766,0.4833052120171348,0.024470722753591762
UCI_EEG,L1 (Lasso),3792.690190732246,0.48329960332429334,0.02446816102623193
UCI_EEG,L1 (Lasso),10000.0,0.48330004269344345,0.024467441062540108
UCI_EEG,L2 (Ridge),0.0001,0.48914057634558006,0.030874503195523748
UCI_EEG,L2 (Ridge),0.00026366508987303583,0.49008255014782465,0.029568744811995055
UCI_EEG,L2 (Ridge),0.0006951927961775605,0.48993149614177317,0.03047612890582398
UCI_EEG,L2 (Ridge),0.0018329807108324356,0.48913582608750544,0.03086746354682665
UCI_EEG,L2 (Ridge),0.004832930238571752,0.48837216527528504,0.028218730504764106
UCI_EEG,L2 (Ridge),0.012742749857031334,0.4886532243912149,0.024207843856018846
UCI_EEG,L2 (Ridge),0.03359818286283781,0.48866048336811724,0.023242033278411706
UCI_EEG,L2 (Ridge),0.08858667904100823,0.48708300038778535,0.02368580468726745
UCI_EEG,L2 (Ridge),0.23357214690901212,0.48521884087675904,0.02373753857525222
UCI_EEG,L2 (Ridge),0.615848211066026,0.4841525045603863,0.024056793806663954
UCI_EEG,L2 (Ridge),1.623776739188721,0.4835422485081987,0.02422214226009889
UCI_EEG,L2 (Ridge),4.281332398719396,0.483328820539956,0.02427234536434098
UCI_EEG,L2 (Ridge),11.288378916846883,0.48327626303291094,0.02421221818493976
UCI_EEG,L2 (Ridge),29.763514416313132,0.4832180466707632,0.024224273028300335
